Columns_to_report,Functions
Serving Cell RS SINR (dB),"mean,min,max"
Serving Cell RSRP (dBm),"mean,min,max"
Serving Cell RSRQ (dB),"mean,min,max"
HTTP_Download_Average_Throughput,"mean,min,max"
HTTP_Download_Service_Average_Throughput,"mean,min,max"
HTTP_Download_Session_Failure_Ratio,"mean,min,max"
HTTP_Download_Session_Success_Ratio,"mean,min,max"
HTTP_Upload_Average_Throughput,"mean,min,max"
HTTP_Upload_Service_Average_Throughput,"mean,min,max"
HTTP_Upload_Session_Failure_Ratio,"mean,min,max"
HTTP_Upload_Session_Success_Ratio,"mean,min,max"
Streaming Aggregated Average Session Resolution,"mean,min,max"
Streaming Audio Bit Rate,"mean,min,max"
Streaming Average Throughput (kbps),"mean,min,max"
Streaming Duration (second),"mean,min,max"
Streaming Frame Height,"mean,min,max"
Streaming Frame Width,"mean,min,max"
Streaming Impairment Free Ratio,"mean,min,max"
Streaming Packet Loss,"mean,min,max"
Streaming Player Download Data Transfer Failure Ratio,"mean,min,max"
Streaming Player Service IP Access Failure Ratio,"mean,min,max"
Streaming Player Session Failure Ratio,"mean,min,max"
Streaming Reproduction Cut-off Ratio,"mean,min,max"
Streaming Reproduction Start Failure Ratio,"mean,min,max"
Streaming Session Cutoff Ratio,"mean,min,max"
Streaming Success Ratio,"mean,min,max"
Streaming Throughput (kbps),"mean,min,max"
Streaming Video Best Resolution,"mean,min,max"
Streaming Video Bit Rate,"mean,min,max"
Streaming Video Download Data Transfer Failure Ratio,"mean,min,max"
Streaming Video Interruption Count,"mean,min,max"
Streaming_Reproduction_Start_Failure_Ratio,"mean,min,max"
Streaming_Service_Access_Time_ms,"mean,min,max"
Streaming_Service_Access_Time_sec,"mean,min,max"
Streaming_Session_Failure_Ratio,"mean,min,max"
Streaming_Session_Qualified_Ratio,"mean,min,max"
Streaming_Session_Video_Interruption_Duration,"mean,min,max"
Streaming_Session_Without_Interruption_Rate,"mean,min,max"
Streaming_Setup_Success_Rate,"mean,min,max"
Streaming_State_Prebuffering_to_Reproducing_Delay,"mean,min,max"
Streaming_State_Request_to_Prebuffering_Delay,"mean,min,max"
Streaming_State_Request_to_Reproducing_Delay,"mean,min,max"
Application Layer Throughput Downlink (kbps),"mean,min,max"
Application Layer Throughput Downlink (Mbps),"mean,min,max"
Application Layer Throughput Uplink (kbps),"mean,min,max"
Application Layer Throughput Uplink (Mbps),"mean,min,max"
SessionTime,"mean,min,max"
SessionTime_Upload,"mean,min,max"
ThroughputCountOver1MBit,"mean,min,max"
ThroughputCountOver3MBit,"mean,min,max"
ThroughputPercentageOver3MBit,"mean,min,max"
TCP_Handshake_Time_sec,"mean,min,max"
TLS Handshake Failure Ratio (%),"mean,min,max"
Multi_RAT_Phy_Throughput_DL_kbps,"mean,min,max"
Multi_RAT_Phy_Throughput_DL_Mbps,"mean,min,max"
Multi_RAT_Phy_Throughput_UL_kbps,"mean,min,max"
Multi_RAT_Phy_Throughput_UL_Mbps,"mean,min,max"
Ping_Count_Attempts,"mean,min,max"
Ping_Count_Success,"mean,min,max"
Ping_Count_Failed,"mean,min,max"
Ping_Delay_ms_Max,"mean,min,max"
Ping_Delay_ms_Min,"mean,min,max"
Ping_Packet_Loss_Rate,"mean,min,max"
Ping_Packet_Success_Rate,"mean,min,max"
Ping_Roundtrip_Time_ms,"mean,min,max"
Ping_Roundtrip_Time_sec,"mean,min,max"
Ping_Size,"mean,min,max"
MAC DL Throughput (kbps),"mean,min,max"
MAC DL Throughput Carrier 1 (kbps),"mean,min,max"
MAC DL Throughput Carrier 2 (kbps),"mean,min,max"
MAC DL Throughput Carrier 3 (kbps),"mean,min,max"
MAC DL Throughput Carrier 4 (kbps),"mean,min,max"
MAC UL Throughput (kbps),"mean,min,max"
MAC UL Throughput Carrier 1 (kbps),"mean,min,max"
MAC UL Throughput Carrier 2 (kbps),"mean,min,max"
NR Phy Throughput Multi-RAT DL (kbps),"mean,min,max"
NR Phy Throughput Multi-RAT DL (Mbps),"mean,min,max"
PDSCH Phy Throughput Total (kbps),"mean,min,max"
PDSCH Phy Throughput Total (Mbps),"mean,min,max"
NR Phy Throughput Multi-RAT UL (kbps),"mean,min,max"
NR Phy Throughput Multi-RAT UL (Mbps),"mean,min,max"
FTP Download kBytes Received (Cumulative),"mean,min,max"
FTP Download Throughput Current (kbps),"mean,min,max"
FTP Download Throughput Current (Mbps),"mean,min,max"
FTP Download Throughput Mean (kbps),"mean,min,max"
FTP Download Throughput Mean (Mbps),"mean,min,max"
FTP Download Transfer Time (second),"mean,min,max"
FTP_Download_Average_Throughput_Not_Completed_Session,"mean,min,max"
FTP_Download_Bearer,"mean,min,max"
FTP_Download_Error_Cause,"mean,min,max"
FTP_Download_Outcome,"mean,min,max"
FTP_Download_Session_Failure_Ratio,"mean,min,max"
FTP_Download_Session_Success_Ratio,"mean,min,max"
FTP_Server_File,"mean,min,max"
Seconds_Start_to_End_FTP_Download,"mean,min,max"
FTP_Download_Data_Transfer_Cutoff_Ratio_Method_A,"mean,min,max"
FTP_Download_Data_Transfer_Success_Ratio_Method_A,"mean,min,max"
FTP_Download_IP_Service_Access_Failure_Ratio_Method_A,"mean,min,max"
FTP_Download_IP_Service_Setup_Success_Ratio_Method_A,"mean,min,max"
FTP_Download_IP_Service_Setup_Time_sec_Method_A,"mean,min,max"
FTP_Download_Transfer_Start_Delay_Method_A,"mean,min,max"
FTP_Download_Data_Transfer_Cutoff_Ratio_Method_B,"mean,min,max"
FTP_Download_Data_Transfer_Success_Ratio_Method_B,"mean,min,max"
FTP_Download_IP_Service_Access_Failure_Ratio_Method_B,"mean,min,max"
FTP_Download_IP_Service_Setup_Success_Ratio_Method_B,"mean,min,max"
FTP_Download_IP_Service_Setup_Time_sec_Method_B,"mean,min,max"
Seconds_Start_to_End_FTP_Upload,"mean,min,max"
FTP_Upload_Bearer,"mean,min,max"
FTP_Upload_Outcome,"mean,min,max"
FTP_Upload_IP_Service_Access_Failure_Ratio_Method_A,"mean,min,max"
FTP_Upload_IP_Service_Setup_Success_Ratio_Method_A,"mean,min,max"
FTP_Upload_IP_Service_Setup_Time_sec_Method_A,"mean,min,max"
FTP_Upload_Transfer_Start_Delay_Method_A,"mean,min,max"
FTP_Upload_IP_Service_Access_Failure_Ratio_Method_B,"mean,min,max"
FTP_Upload_IP_Service_Setup_Success_Ratio_Method_B,"mean,min,max"
FTP_Upload_IP_Service_Setup_Time_sec_Method_B,"mean,min,max"
FTP Upload kBytes Sent (Cumulative),"mean,min,max"
FTP Upload Throughput Current (kbps),"mean,min,max"
FTP Upload Throughput Current (Mbps),"mean,min,max"
FTP Upload Throughput Mean (kbps),"mean,min,max"
FTP Upload Throughput Mean (Mbps),"mean,min,max"
FTP Upload Transfer Time (second),"mean,min,max"
Seconds_Start_to_End_UDP_Download,"mean,min,max"
UDP_Download_Error_Cause,"mean,min,max"
Jitter,"mean,min,max"
Packets Lost (%),"mean,min,max"
UDP Download Average Throughput (kbps),"mean,min,max"
UDP Download kBytes Received (Cumulative),"mean,min,max"
UDP Download Throughput (kbps),"mean,min,max"
UDP Download Transfer Time (second),"mean,min,max"
Seconds_Start_to_End_UDP_Upload,"mean,min,max"
UDP_Upload_Error_Cause,"mean,min,max"
UDP Upload Average Throughput (kbps),"mean,min,max"
UDP Upload kBytes Sent (Cumulative),"mean,min,max"
UDP Upload kBytes Sent (Current),"mean,min,max"
UDP Upload Throughput (kbps),"mean,min,max"
UDP Upload Transfer Time (second),"mean,min,max"
IE Browse Download Time (ms),"mean,min,max"
IE Browse Page Size (Bytes),"mean,min,max"
Resolution Success Ratio (%),"mean,min,max"
